ID,Created at,Updated at,Label,Description,Form ID,Order,Api name,UUID,Type,Parent ID,Delete Parent ID,Acrofieldlabel,Section ID,Excluded,Partial label,Custom,Show group label,Height,Page,Width,X,Y,Unified field ID,Delete,Hidden,Toggle description
1176629,2024-07-10T20:39:37.570Z,2025-04-29T16:49:51.535Z,Last Name,,9964,2,owner_last,c739594a-eabe-4ff0-aae0-2d0f927c1d7e,TextField,,Delete Parent ID,owner_last,7841,false,owner_last,false,false,14,0,120,276,606,4,Delete,false,false
1176632,2024-07-10T20:39:37.570Z,2025-04-29T16:49:51.535Z,City,,9964,5,owner_city,1931c6c2-35c9-4988-9bfc-a36c002e4cbb,TextField,,Delete Parent ID,owner_city,7841,false,owner_city,false,false,14,0,301,58,572,17,Delete,false,false
1176628,2024-07-10T20:39:37.570Z,2025-04-29T16:49:51.535Z,First Name,,9964,1,owner_first,463b59a1-73da-415c-a870-5b1a04d33c9b,TextField,,Delete Parent ID,owner_first,7841,false,owner_first,false,false,14,0,126,89,606,3,Delete,false,false
5448741,2025-01-31T18:42:24.148Z,2025-04-29T16:49:51.535Z,Contract Number,,9964,3,owner_contract,577dbc7d-269e-4c3a-b12a-ac17be82e878,TextField,,Delete Parent ID,owner_contract,7841,false,owner_contract,false,false,14,0,89,487,606,8,Delete,false,false
1176631,2024-07-10T20:39:37.570Z,2025-04-29T16:49:51.535Z,Address,,9964,4,owner_address,b223825c-e697-4900-9fea-e1a1dbc218a4,TextField,,Delete Parent ID,owner_address,7841,false,owner_address,false,false,14,0,498,77,589,16,Delete,false,false
1176635,2024-07-10T20:39:37.570Z,2025-04-29T16:49:51.535Z,Phone,,9964,8,owner_phone,0f52605a-44db-48ea-bd05-d0d433622bd4,TextField,,Delete Parent ID,owner_phone,7841,false,owner_phone,false,false,14,0,146,69,554,9,Delete,false,false
1176636,2024-07-10T20:39:37.570Z,2025-04-29T16:49:51.535Z,Email,,9964,9,owner_email,43e7f62a-90f6-4077-a743-54a9a50fb708,TextField,,Delete Parent ID,owner_email,7841,false,owner_email,false,false,14,0,323,253,554,10,Delete,false,false
1176633,2024-07-10T20:39:37.570Z,2025-04-29T16:49:51.535Z,State,,9964,6,owner_state,c21d40a1-95cc-454f-9507-5eccbbfd8694,TextField,,Delete Parent ID,owner_state,7841,false,owner_state,false,false,14,0,71,396,572,18,Delete,false,false
5448742,2025-01-31T18:42:24.148Z,2025-04-29T16:49:51.535Z,ZIP,,9964,7,owner_zip,51e3c29c-8e04-4eeb-a466-4bab6433909a,TextField,,Delete Parent ID,owner_zip,7841,false,owner_zip,false,false,14,0,80,495,572,19,Delete,false,false
5448751,2025-01-31T18:42:24.148Z,2025-04-29T16:49:51.535Z,Start Date,,9964,1,rmd_one-time__date,b8af4250-86e7-4cb2-92b2-ba505c56b47d,TextField,5448804,Delete Parent ID,rmd_one-time__date,7844,false,rmd_one-time__date,false,false,13,1,129,159,501,253,Delete,false,false
5448752,2025-01-31T18:42:24.148Z,2025-04-29T16:49:51.535Z,Amount,,9964,1,rmd_one-time__lump-amount,3845bcd0-734e-4831-be46-f53dfa69a0f6,TextField,5448810,Delete Parent ID,rmd_one-time__lump-amount,7844,false,rmd_one-time__lump-amount,false,false,14,1,89,214,454,254,Delete,false,false
5448753,2025-01-31T18:42:24.148Z,2025-04-29T16:49:51.535Z,Amount,,9964,1,rmd_one-time__past-amount,0d59b7b0-90d4-40e5-a020-5af5d0ebca85,TextField,5448811,Delete Parent ID,rmd_one-time__past-amount,7844,false,rmd_one-time__past-amount,false,false,14,1,90,200,436,255,Delete,false,false
5448755,2025-01-31T18:42:24.148Z,2025-04-29T16:49:51.535Z,Spouse's Date of Birth,,9964,1,rmd_spouse__dob,67ae529d-077c-4817-bfc6-4e0c61dde284,TextField,5448756,Delete Parent ID,rmd_spouse__dob,7844,false,rmd_spouse__dob,false,false,14,1,115,376,314,257,Delete,false,false
5448756,2025-01-31T18:42:24.148Z,2025-04-29T16:49:51.535Z,RMD Spousal Beneficary Election,,9964,2,rmd_spouse__elect,23c6b957-5ea8-49d0-96aa-5b95d9a68948,Checkbox,,Delete Parent ID,rmd_spouse__elect,7844,false,rmd_spouse__elect,false,false,8,1,8,35,328,262,Delete,false,false
5448758,2025-01-31T18:42:24.148Z,2025-04-29T16:49:51.535Z,403(b) Balance as of 12/31/1986,,9964,4,rmd_prior__403b,ff8e6a31-97cd-435e-832d-d868f51f19fa,TextField,,Delete Parent ID,rmd_prior__403b,7844,false,rmd_prior__403b,false,false,14,1,106,186,254,259,Delete,false,false
5448747,2025-01-31T18:42:24.148Z,2025-04-29T16:49:51.535Z,Select One Scheduled RMD Option below,,9964,1,rmd--group,05252c6e-c77d-4525-ae90-85c9367e41ad,RadioGroup,,Delete Parent ID,rmd--group,7844,false,rmd--group,false,true,8,1,8,35,635,822,Delete,false,false
5448754,2025-01-31T18:42:24.148Z,2025-04-29T16:49:51.535Z,RMD year,,9964,2,rmd_one-time__past-year,fa473613-ae06-4bd3-886e-2cb91917e494,TextField,5448811,Delete Parent ID,rmd_one-time__past-year,7844,false,rmd_one-time__past-year,false,false,14,1,81,359,436,256,Delete,false,false
5448749,2025-01-31T18:42:24.148Z,2025-04-29T16:49:51.535Z,Start Date,,9964,1,rmd_recurring__date,e5c57578-2530-42ea-81d9-59fbd19e7057,TextField,5448803,Delete Parent ID,rmd_recurring__date,7844,false,rmd_recurring__date,false,false,14,1,135,188,619,252,Delete,false,false
5448803,2025-01-31T18:42:25.874Z,2025-01-31T18:42:25.874Z,Recurring Option,,9964,1,rmd_recurring,3fe055f0-c800-4b94-9dfa-e91830de2df2,RadioButton,5448747,Delete Parent ID,rmd_recurring,7844,false,rmd_recurring,false,false,,,,,,823,Delete,false,false
5448804,2025-01-31T18:42:25.874Z,2025-01-31T18:42:25.874Z,One-time Option,,9964,2,rmd_one-time,880f6af3-a1da-4bcf-97dc-5c1c58f11519,RadioButton,5448747,Delete Parent ID,rmd_one-time,7844,false,rmd_one-time,false,false,,,,,,829,Delete,false,false
